EMPCT;CONVOCADO;MATRICULADO
5347;S;
42570;S;
21026;S;S
46042;S;S
61958;S;S
13926;S;S
14938;S;S
54641;S;
61500;S;S
12605;S;S
48304;S;S
43694;S;S
58480;S;S
887;S;
887;S;
73233;S;
45291;S;S
12604;S;S
61858;S;
47698;S;
5447;S;S
4237;S;S
44307;S;
13264;S;S
4963;S;
73420;S;
52016;S;
38826;S;
50653;S;S
8470;S;S
13456;S;S
2306;S;S
66753;S;S
60381;S;
60381;S;
1167;S;S
60275;S;
22821;S;S
43697;S;
58427;S;
38907;S;S
8186;S;S
46853;S;
6307;S;S
18085;S;S
7876;S;S
37741;S;S
21130;S;S
44134;S;
60260;S;
33222;S;
34180;S;S
29141;S;S
71597;S;S
39444;S;S
1293;S;S
5057;S;S
5016;S;S
32666;S;
32666;S;
66009;S;
34626;S;
5334;S;S
4784;S;S
15827;S;S
2271;S;S
42708;S;S
42708;S;
71919;S;
31263;S;S
57766;S;S
61895;S;S
73418;S;S
28081;S;S
64959;S;S
18446;S;S
63544;S;
14744;S;S
18267;S;S
4474;S;S
44143;S;S
31465;S;S
5224;S;S
5952;S;S
40646;S;S
31329;S;
2421;S;S
18462;S;S
2259;S;S
21072;S;S
70152;S;
14802;S;S
20660;S;S
68724;S;S
604;S;S
49140;S;S
33384;S;
8173;S;
8173;S;S
5362;S;S
21169;S;
53343;S;
53343;S;S
17511;S;S
7601;S;S
8412;S;
25477;S;S
2138;S;S
34512;S;
21140;S;S
24470;S;S
20095;S;S
14851;S;S
66092;S;S
20149;S;S
8148;S;S
33242;S;S
39581;S;S
27866;S;
67732;S;
67990;S;
66098;S;S
46108;S;S
20795;S;
29473;S;
20701;S;
69028;S;
29061;S;
18615;S;
32113;S;
40373;S;
54558;S;S
5661;S;S
26860;S;S
26860;S;
34610;S;S
71843;S;
49642;S;
24999;S;
32996;S;
58336;S;
28134;S;S
6802;S;S
15072;S;S
57746;S;
16221;S;S
61727;S;
27850;S;
43729;S;
4869;S;S
6676;S;S
7464;S;S
7592;S;S
67746;S;
42578;S;
2268;S;S
5218;S;S
34729;S;
16157;S;
2418;S;
17064;S;S
58379;S;S
4954;S;S
4954;S;
7598;S;S
13382;S;S
17080;S;
50728;S;
18178;S;S
2309;S;S
7448;S;S
4069;S;S
49610;S;
8126;S;S
26721;S;
34325;S;S
67920;S;
14123;S;
5028;S;S
32383;S;S
1104;S;
34604;S;S
61725;S;
902;S;S
20857;S;
20902;S;
25287;S;
4881;S;S
22574;S;
12722;S;
20591;S;S
54705;S;S
1863;S;S
44169;S;S
54555;S;S
5485;S;S
34457;S;
8168;S;
13284;S;S
12602;S;
12602;S;S
47551;S;S
5058;S;
51899;S;
5246;S;S
71234;S;
66630;S;
69925;S;S
13673;S;
69884;S;
32906;S;S
22951;S;S
4875;S;S
50667;S;S
34468;S;S
18203;S;S
20866;S;S
8121;S;S
53648;S;S
14723;S;S
40707;S;
27596;S;S
18008;S;S
3629;S;S
34659;S;
45176;S;
27322;S;
27322;S;
8488;S;S
27437;S;
34241;S;
59625;S;
7471;S;S
61602;S;S
20052;S;S
33596;S;S
58445;S;S
46368;S;
51976;S;
24662;S;S
29434;S;
25245;S;S
49653;S;S
66104;S;
43778;S;S
43778;S;
34304;S;S
2364;S;
67268;S;S
2397;S;S
34709;S;S
49538;S;
22703;S;S
52488;S;
67223;S;
13624;S;
13624;S;S
66047;S;
6986;S;S
73419;S;
23959;S;
69138;S;S
1392;S;
64949;S;S
24051;S;S
38853;S;
39442;S;
68753;S;
42669;S;S
4750;S;S
61825;S;S
34758;S;
59977;S;
4368;S;S
6704;S;S
52597;S;
1907;S;S
48056;S;
48056;S;
20387;S;S
7512;S;
20651;S;S
18508;S;S
38923;S;
25428;S;S
47907;S;
32051;S;
49479;S;
4318;S;S
4318;S;
4644;S;S
33015;S;
33015;S;S
12515;S;S
48061;S;
52096;S;S
443;S;S
67887;S;S
34252;S;S
12930;S;S
51528;S;
34741;S;
29376;S;
69124;S;
14640;S;S
45193;S;S
16143;S;
4336;S;S
47776;S;
64286;S;
5213;S;S
42964;S;
2409;S;S
8386;S;S
1398;S;S
65631;S;S
45261;S;
33094;S;S
49505;S;S
22696;S;
33505;S;
59495;S;
61935;S;
61935;S;S
32394;S;
58461;S;S
21106;S;S
2401;S;S
26143;S;S
18302;S;S
31296;S;
33781;S;S
20463;S;S
52731;S;
65782;S;
55;S;S
40789;S;S
16052;S;S
51983;S;S
69008;S;S
67921;S;
59753;S;S
12583;S;S
52454;S;S
71718;S;S
18535;S;
31194;S;
18402;S;S
67724;S;
67724;S;
33268;S;
15184;S;
15184;S;S
7836;S;
63346;S;S
1901;S;S
39074;S;S
15174;S;S
31994;S;S
52519;S;
15209;S;S
4346;S;S
53366;S;S
45114;S;
20593;S;S
7792;S;S
1284;S;S
54945;S;S
18179;S;
40365;S;
31365;S;
59466;S;
59466;S;
67731;S;S
7432;S;S
60354;S;S
14035;S;S
13839;S;S
7144;S;S
34476;S;S
155;S;
60565;S;
31220;S;S
61819;S;
39339;S;S
4380;S;S
600;S;
39222;S;S
61701;S;S
4348;S;
46228;S;
32767;S;S
45877;S;
34752;S;S
34028;S;S
34704;S;
38547;S;
58219;S;
5359;S;
39360;S;
34253;S;S
6308;S;S
54892;S;S
33263;S;S
52267;S;
60229;S;
28529;S;S
42939;S;
17569;S;S
27270;S;S
45837;S;S
46119;S;
23929;S;
29181;S;
1253;S;S
38804;S;
44125;S;S
37931;S;
39906;S;
1993;S;S
34742;S;
12486;S;
34207;S;S
4279;S;S
29759;S;
4136;S;
4136;S;S
12700;S;S
31685;S;
55893;S;
61833;S;S
73424;S;
2319;S;S
6703;S;S
20711;S;S
59829;S;S
23083;S;S
32917;S;
51070;S;S
17440;S;S
60491;S;
34051;S;
6890;S;S
24114;S;S
26789;S;
8171;S;
24855;S;S
58260;S;S
61464;S;S
20905;S;
20751;S;S
13785;S;S
46008;S;
5983;S;S
65127;S;
26897;S;
31706;S;
57812;S;S
2340;S;
49400;S;S
61032;S;
37798;S;S
60010;S;S
52420;S;
43823;S;S
58221;S;
69923;S;
7683;S;S
15093;S;
58222;S;S
17212;S;S
18257;S;S
25723;S;S
61392;S;
32644;S;
8203;S;
65654;S;
33302;S;
6056;S;S
6426;S;
43357;S;
15060;S;
15060;S;S
73391;S;
49152;S;
28053;S;S
20611;S;S
61749;S;S
61749;S;
71976;S;S
20970;S;
61594;S;S
8388;S;S
39037;S;
39037;S;
43419;S;S
13556;S;S
33011;S;
1881;S;S
7637;S;S
5061;S;S
34518;S;
47225;S;
54550;S;
1941;S;S
25418;S;S
44729;S;
40412;S;
20055;S;
50547;S;S
14703;S;S
21179;S;
20046;S;S
60448;S;
1950;S;S
5087;S;S
61884;S;S
24946;S;
3759;S;S
59496;S;
12650;S;
4793;S;S
31197;S;
38672;S;
34033;S;S
18487;S;S
29381;S;S
34702;S;
13851;S;
40763;S;S
58125;S;
5521;S;S
743;S;S
66645;S;S
23146;S;S
46516;S;
6666;S;S
69756;S;
68960;S;S
42867;S;
5435;S;S
18262;S;
6910;S;S
39236;S;
6435;S;S
5973;S;S
4931;S;S
32294;S;
37732;S;
50988;S;
34628;S;
1426;S;S
17621;S;
2299;S;S
21173;S;S
7951;S;S
29430;S;S
23098;S;S
34612;S;S
376;S;S
58697;S;
68721;S;
58293;S;S
39135;S;S
13825;S;S
53562;S;S
21158;S;S
24983;S;S
46526;S;
52963;S;
23578;S;
57792;S;
53853;S;S
5182;S;
13353;S;S
29042;S;
69016;S;S
5364;S;S
45893;S;
2375;S;S
50691;S;
69000;S;
73299;S;
43701;S;S
16716;S;S
32400;S;
21012;S;S
34647;S;S
61920;S;S
6943;S;
27430;S;
61842;S;S
18715;S;
5247;S;S
34037;S;
4403;S;S
32929;S;
61698;S;S
3993;S;
28127;S;S
13358;S;
4746;S;S
31378;S;
23944;S;
15063;S;S
46328;S;
4143;S;
22800;S;
18171;S;
25280;S;S
18086;S;S
55135;S;
53394;S;
3921;S;S
3921;S;
13245;S;S
13245;S;
27783;S;
47181;S;
7476;S;S
2275;S;S
46031;S;
37818;S;S
34329;S;
34733;S;S
44838;S;
4905;S;S
4905;S;
7470;S;S
25250;S;S
17188;S;S
60476;S;S
61303;S;
13535;S;S
68751;S;S
61405;S;S
60312;S;
12582;S;S
40323;S;
1110;S;
39450;S;
1930;S;
67847;S;
33973;S;
60264;S;S
24293;S;S
44663;S;S
1815;S;
20854;S;
20973;S;S
31330;S;S
31330;S;
29306;S;
6118;S;
6118;S;
54791;S;
54791;S;
56340;S;S
2110;S;S
24507;S;
26869;S;S
24144;S;S
33236;S;
6664;S;S
51855;S;
58302;S;
28028;S;
12708;S;S
50579;S;S
25961;S;
17605;S;
61;S;S
182;S;
34652;S;
34652;S;S
39621;S;
34061;S;
76;S;S
5443;S;
46508;S;
32901;S;
61367;S;S
34117;S;S
5357;S;S
7427;S;S
2284;S;S
4364;S;
28291;S;
7892;S;S
49558;S;
29362;S;
54724;S;
43835;S;
8181;S;S
3949;S;S
24169;S;S
2492;S;
27767;S;
59470;S;S
59761;S;
57837;S;
53809;S;
52288;S;
